N(bin),P(bin),K(bin),Temp(bin),Humi(bin),ph(bin),rain(bin),tipo(bin)
00001101,01000011,00010010,011111,0100011,0101,010110010,00101
00011011,01001010,00010100,011001,0111100,0110,001011100,00101
00011101,01001000,00011000,010111,0100101,0111,010100011,00101
00000101,01000100,00010100,010011,0100001,0110,010011011,00101
00100111,00111001,00010011,011101,0101110,0110,010100101,00101
00010110,00111110,00010000,100011,0110110,0101,010110101,00101
00010010,00110111,00010111,010110,0111000,0111,010001001,00101
00100111,01001101,00010101,010111,0111100,0101,010100000,00101
00001101,01001011,00010100,011111,0100011,0111,010110011,00101
00011011,01000111,00011000,011111,0110000,0111,010100101,00101
00011010,01000000,00010110,011010,0101001,0101,001101101,00101
00010111,00110111,00010000,010101,1000110,0101,010111001,00101
00000100,01000101,00010011,010011,0110000,0101,010010101,00101
00010100,01000011,00010011,010011,0110011,0110,010110101,00101
00000111,01001010,00010001,010110,0111111,0110,001100001,00101
00010001,01000000,00010010,100101,0111010,0110,001111101,00101
00100011,01000111,00010001,011110,1000010,0111,011000110,00101
00001011,01001000,00010110,011101,0101101,0111,010101100,00101
00010100,00111100,00010110,011110,0101011,0111,010111011,00101
00001010,01000111,00010010,010100,1000010,0110,010101101,00101
00100001,00111101,00011000,010100,0110001,0101,001111010,00101
00000011,00110001,00010010,011100,1000001,0100,000100001,00110
00010110,00111011,00010111,011011,0110011,0100,000100101,00110
00100100,00111010,00011001,011101,0111011,1000,000100101,00110
00000100,00101011,00010010,011101,0111101,1001,001001001,00110
00011101,00110110,00010000,011100,0110111,1000,000100000,00110
00100000,00101011,00010110,100000,0110110,0101,001001000,00110
00001110,00110111,00001111,011011,0110111,1000,001001001,00110
00000101,00100011,00010100,011101,0110110,1010,001000010,00110
00011001,00111001,00011000,011100,0111011,0111,000100101,00110
00001011,00110101,00011000,011101,0111000,0111,000111101,00110
00101000,00110001,00010001,011111,0101110,0111,000110110,00110
00100110,00111000,00011001,011010,0101101,1000,001000011,00110
00011011,00101011,00010111,100000,0111001,0110,000101101,00110
00011000,00100110,00010110,011000,0111011,1000,000100011,00110
00010111,00101101,00010101,011111,0110100,1001,001001010,00110
00011101,00111001,00010100,011010,0110011,0110,000110101,00110
00011111,00100011,00010111,011110,0101111,1000,001000100,00110
00000000,00110111,00011001,011100,0101100,0101,000101110,00110
00000111,00101101,00010110,011010,0101101,1010,001001010,00110
00010001,00111010,00011001,011111,0101100,0110,000100001,00110
00001011,00101100,00010001,011010,0111000,1000,000100011,00110
00010110,00110001,00010110,011100,0111110,0100,001001001,00110
00001001,00110011,00010011,011011,0110001,0101,000110000,00110
00011100,00110000,00001111,011001,0110111,1001,000101001,00110
00011010,00110010,00010011,011011,0110100,0110,000100001,00110
00100100,00111000,00010100,011001,0110010,0111,000100000,00110
00001000,00111100,00010010,011111,0101110,0100,000110101,00110
00011000,00100101,00010101,011111,0111010,0110,000111111,00110
00010110,00101011,00011000,011001,0110101,0101,000101110,00110
00100100,00101011,00011000,011011,0101100,0100,000101010,00110
00010110,00101100,00011000,011000,0111000,0110,000111011,00110
00010001,00101011,00010110,011110,0101110,0101,000101001,00110
00001000,00101101,00001111,011100,0111101,0101,000100010,00110
00000111,00111000,00010111,011010,0101000,0110,000111000,00110
00100100,00111001,00010000,011101,0111001,1000,000111001,00110
00001011,00101101,00010011,011101,0101100,0100,000101100,00110
00000110,00100100,00010110,011000,0111100,1001,000101010,00110
00010001,00111001,00010100,011101,0101101,0100,001000010,00110
00000100,00101111,00010100,011010,1000001,0100,001001000,00110
00001001,00110001,00010000,011111,0101001,1000,000110111,00110
00011001,00110011,00011000,011010,0111110,1001,001000001,00110
00100100,00101100,00010101,011001,0110011,0101,000100110,00110
00010101,00100110,00010100,011011,1000000,0110,000111110,00110
00100101,00111001,00010100,011111,0101101,0111,001000111,00110
00100000,00110000,00010010,011010,0111000,0110,001000000,00110
00011101,00101100,00010100,011110,1000000,1001,000100000,00110
00011001,00110011,00010010,011100,0110111,1001,000110010,00110
00001010,00101100,00011000,011111,0101011,1000,000111010,00110
00010111,00100011,00010010,011010,0101111,0101,000100101,00110
00001001,00111100,00010111,100000,0111001,0110,001000000,00110
00000011,00111010,00010101,011001,0101111,1001,000111000,00110
00010110,00101010,00010110,011010,0111001,1000,000110000,00110
00001100,00100111,00010101,011101,0111111,1000,001000110,00110
00100111,00100100,00010110,011101,0111101,1001,000100010,00110
00100000,00101001,00010000,011101,0111101,1000,001000101,00110
00011110,00101001,00001111,011001,0101100,0110,000110100,00110
00010011,00100100,00010110,011001,0111011,0110,000111001,00110
00000100,00101110,00001111,011111,0111110,0100,001000000,00110
00010101,00100111,00010100,011011,0110100,0111,000111101,00110
00100011,00111001,00011001,011011,0101010,1000,001000111,00110
00010110,00110111,00011000,011101,0111001,1001,001000001,00110
00100011,00110011,00010001,011101,0110010,0100,000101001,00110
00010001,00111000,00010001,011100,0101101,0110,001000110,00110
00011100,00111001,00010001,011110,0111110,1001,000111110,00110
00010110,00100100,00010000,011111,0110011,1000,001000001,00110
00001011,00101001,00010011,011011,0101010,0101,000101100,00110
00100110,00100110,00010010,011010,0111101,0110,000100100,00110
00010111,00100101,00011000,011101,0101100,1000,000100010,00110
00011001,00100011,00010100,011101,0101011,1001,001001000,00110
00101000,00101101,00010100,011101,0111010,0111,000100110,00110
00010111,00111010,00010011,011000,0111010,0101,000111011,00110
00000010,00111000,00010111,011011,0111100,1000,000100101,00110
00000011,00111000,00010001,011100,0110110,1001,000110100,00110
00011010,00110011,00011001,011101,0110101,1000,000110111,00110
00100111,00101010,00010100,011101,0111101,1000,000101001,00110
00011011,00111011,00010100,011100,0110101,0100,000100100,00110
00011000,00101101,00010011,011011,0110001,0110,000100011,00110
00000111,00101000,00010001,011111,0101001,1001,000110110,00110
00001111,00101101,00010111,011000,0111101,0111,000101110,00110
00011010,00110100,00010111,011110,0110010,0101,000110101,00110
00010100,00101101,00010000,011110,0110111,0101,000101101,00110
00100010,00110110,00011000,011111,0101010,0101,001000101,00110
00010011,00110011,00011001,011011,0110000,0100,000101100,00110
00011101,00101001,00010101,011111,0111111,1001,001000001,00110
00010100,00110010,00010110,011111,0101110,1001,000100110,00110
00001011,00101000,00010111,011110,0111111,0110,000110010,00110
00001111,00110110,00001111,011110,0111001,1000,000101101,00110
00100011,00110111,00010110,011111,0110101,1001,000111000,00110
00001001,00111011,00011001,011110,0111100,1000,000100011,00110
00101000,00101101,00010010,011110,0110111,0101,000011111,00110
00100011,00100110,00010011,011001,0111111,1001,000100001,00110
00001110,00111010,00010001,011111,0111100,0101,000100001,00110
00101000,00110111,00010010,011110,0101001,0111,000110000,00110
00010010,00100100,00010111,011000,0110110,0111,000100011,00110
00100011,00110100,00001111,011101,0111101,1010,001000010,00110
00000100,00111011,00010110,011101,0110001,1001,000101010,00110
00010110,00110011,00010000,011100,0111101,1001,001000110,00110
00100001,00101111,00010001,011001,0110000,1001,001000000,00110
00000010,00110011,00010001,011010,0101110,0110,000100111,00110
00010000,00110011,00010101,011111,0110010,0100,000100001,00110
00010011,00110111,00010100,011011,1011000,0111,000110111,00111
00001000,00110110,00010100,011100,1010001,0111,000100111,00111
00100100,00110111,00010100,011011,1010100,0111,000110111,00111
00001010,00111000,00010000,011100,1010001,0111,000100100,00111
00010110,00111000,00010001,011110,1010111,0111,000101101,00111
00001001,00111001,00011000,011110,1011010,0111,000101011,00111
00100010,00111011,00010111,011101,1010011,0111,000111000,00111
00011111,00110011,00011001,011100,1010110,0111,000110101,00111
00000000,00110001,00010010,011110,1011000,0111,000101010,00111
00010101,00100111,00010100,011100,1010010,0111,000101111,00111
00011100,00100011,00010110,011110,1010111,0111,000111100,00111
00010001,00110100,00010001,011100,1010110,0110,000101101,00111
00011000,00101010,00010111,011100,1010010,0110,000101100,00111
00011100,00101110,00010000,011101,1010101,0111,000101110,00111
00010101,00100110,00010101,011110,1010110,0111,000100110,00111
00100010,00111100,00011001,011110,1010101,0111,000101001,00111
00010011,00110101,00010110,011100,1010000,0111,000101011,00111
00011111,00111010,00001111,011011,1010101,0111,000110100,00111
00010011,00100011,00011000,011011,1010100,0111,000110001,00111
00011000,00110101,00010001,011101,1011001,0110,000111010,00111
00001101,00101111,00010100,011101,1011000,0111,000101011,00111
00011111,00110101,00010000,011101,1010110,0110,000110001,00111
00011100,00101101,00010111,011110,1010000,0110,000111001,00111
00011111,00100101,00010101,011011,1010110,0111,000100101,00111
00100001,00111100,00001111,011101,1010010,0111,000111001,00111
00100010,00101101,00010101,011100,1010011,0110,000100101,00111
00001101,00111001,00011001,011100,1010110,0111,000110010,00111
00100001,00111001,00010001,011100,1011001,0111,000111010,00111
00100000,00111001,00010110,011101,1011000,0111,000101101,00111
00010111,00111011,00011001,011100,1011001,0110,000111001,00111
00100011,00101001,00010010,011101,1010010,0111,000111100,00111
00000110,00110000,00011000,011101,1010101,0111,000110000,00111
00011101,00100100,00011001,011100,1011000,0111,000110001,00111
00000100,00100100,00010110,011100,1010110,0111,000101100,00111
00001010,00111011,00010110,011101,1010111,0111,000100101,00111
00001110,00110000,00010101,011101,1010101,0111,000110101,00111
00001000,00110010,00010101,011101,1011001,0110,000110010,00111
00010100,00101000,00001111,011110,1011000,0111,000101101,00111
00100100,00101011,00010110,011100,1010111,0110,000111010,00111
00001110,00111001,00001111,011110,1010011,0111,000101000,00111
00001011,00111100,00010111,011011,1011001,0111,000110011,00111
00001010,00111011,00001111,011110,1011001,0110,000111011,00111
00000111,00111100,00011001,011100,1010011,0110,000111000,00111
00000010,00101111,00001111,011110,1010110,0110,000111010,00111
00010100,00101101,00010110,011110,1011010,0111,000110111,00111
00000010,00100111,00001111,011100,1010011,0110,000110010,00111
00011011,00101000,00011000,011100,1011010,0111,000110101,00111
00100011,00110000,00001111,011011,1010111,0111,000110111,00111
00000100,00111011,00011001,011100,1010010,0110,000110111,00111
00000001,00110000,00011000,011101,1010110,0110,000111011,00111
00100100,00101011,00010101,011100,1010101,0111,000110101,00111
00001011,00101110,00011000,011100,1011010,0110,000111001,00111
00100010,00101111,00010011,011011,1010101,0111,000110101,00111
00010101,00101100,00010010,011011,1010111,0111,000110010,00111
00010001,00111010,00010100,011100,1010110,0110,000100111,00111
00011001,00101000,00010101,011100,1010001,0110,000101100,00111
00000010,00100110,00010010,011100,1011010,0111,000101101,00111
00001001,00110000,00010100,011110,1010100,0110,000111000,00111
00100101,00110001,00011001,011110,1010110,0110,000101001,00111
00100100,00100110,00001111,011100,1011000,0110,000111010,00111
00101000,00111010,00001111,011101,1011000,0111,000101011,00111
00011110,00101100,00010000,011110,1010011,0110,000110011,00111
00000001,00111011,00010111,011011,1010111,0111,000101100,00111
00001001,00110000,00010110,011100,1010111,0110,000110010,00111
00001110,00101001,00010001,011101,1011000,0111,000100100,00111
00100011,00110100,00010011,011011,1011010,0111,000100101,00111
00011111,00110000,00010001,011101,1010111,0111,000110110,00111
00000100,00101001,00010100,011100,1010100,0111,000100101,00111
00011110,00100101,00011001,011110,1010000,0111,000110111,00111
00001001,00100011,00010100,011011,1010001,0111,000101001,00111
00010100,00101001,00010100,011101,1011001,0111,000110011,00111
00100101,00110010,00010111,011110,1011000,0111,000111000,00111
00100010,00100011,00010101,011100,1010011,0111,000111010,00111
00001110,00100101,00001111,011100,1010100,0111,000110001,00111
00010111,00100111,00010110,011101,1010010,0111,000101010,00111
00000101,00101101,00010101,011100,1011000,0110,000101011,00111
00010110,00100101,00010100,011100,1010110,0111,000100111,00111
00101000,00110011,00010001,011101,1010110,0111,000110010,00111
00011011,00111000,00010100,011101,1010111,0110,000110100,00111
00011111,00101000,00010110,011101,1010110,0110,000110101,00111
00100110,00100100,00010101,011100,1010101,0111,000100100,00111
00000110,00100101,00010001,011100,1010000,0111,000100110,00111
00000110,00101111,00010010,011101,1010000,0111,000101000,00111
00011000,00101100,00010001,011110,1010000,0111,000110011,00111
00011001,00111011,00010011,011101,1010100,0111,000101100,00111
00100000,00111000,00010101,011011,1011001,0111,000111010,00111
00001000,00101101,00010010,011100,1010101,0111,000101011,00111
00010011,00100111,00010001,011101,1010010,0111,000101100,00111
00100111,00100101,00001111,011101,1010100,0111,000111100,00111
00100001,00100101,00010011,011100,1010111,0111,000101011,00111
00011010,00110110,00010001,011101,1011001,0110,000110001,00111
00010101,00110011,00001111,011101,1011001,0111,000110000,00111
00010110,00110110,00010100,011101,1010100,0111,000101001,00111
00011101,00101101,00010000,011100,1011000,0111,000101011,00111
00000100,00101000,00010101,011101,1010000,0111,000101100,00111
00001010,00100101,00010110,011101,1011001,0111,000111011,00111
00000100,00101100,00010011,011100,1010100,0111,000101011,00111
00010100,00101101,00010001,011100,1010100,0111,000100101,00111
00010111,00101101,00010111,011101,1010111,0111,000111000,00111
00011001,00110000,00010101,011100,1010011,0110,000110101,00111
00111000,01001111,00001111,011101,0111111,0111,001001000,01000
00011001,00111110,00010101,011011,1000100,0111,001000011,01000
00101010,00111101,00010110,011010,0111110,0111,001000110,01000
00101010,01001001,00011001,100010,1000011,0111,001001001,01000
00101100,00111010,00010010,011100,1000001,0111,001001000,01000
00110010,00110111,00010000,011101,1000001,1000,000111110,01000
00100011,01001000,00010101,100010,1000000,1000,001000011,01000
00011110,01000000,00010100,100010,0111110,0111,001000100,01000
00011011,01000000,00010101,100001,1000101,1000,001001010,01000
00110010,01001010,00010001,011011,0111111,0111,001001010,01000
00100111,01001001,00011000,011010,0111101,0111,001000101,01000
00111001,01000011,00011001,100000,1000011,1000,001000001,01000
00110100,00111111,00010011,011110,1000100,0111,001000100,01000
00110111,01000010,00010110,011111,1000101,1000,001000011,01000
00110011,00111000,00010010,011100,1000000,0111,001000111,01000
00100100,01000010,00001111,011110,1000101,0111,001000011,01000
00111011,00110111,00010011,100000,0111111,0111,001000101,01000
00110010,00111010,00010111,011100,0111111,1000,001000110,01000
00011110,01000001,00011001,100001,1000001,1000,001001000,01000
00010100,00111110,00010010,011101,1000001,0111,000111110,01000
00111010,01000111,00001111,011100,1000100,0111,001001010,01000
00011001,01000111,00011000,011100,0111100,0111,001001011,01000
00110100,01000111,00010000,011100,1000101,0111,001001000,01000
00101000,00111111,00010010,011110,1000100,0111,000111111,01000
00010100,00111100,00011001,011011,1000101,0111,000111101,01000
00110000,00111101,00010101,011110,0111110,0111,001000010,01000
00110001,01000100,00010110,011101,0111110,0111,000111111,01000
00110000,00111110,00001111,011001,1000011,1000,001000010,01000
00100000,01000010,00010001,100011,1000001,0111,001000110,01000
00010101,00111111,00010110,011001,1000100,0111,001001011,01000
00010100,01001000,00010011,100000,1000000,0111,001000010,01000
00011001,01000001,00010101,100010,1000101,0111,001000101,01000
00101001,01001110,00010101,011001,0111100,0111,001000111,01000
00110101,01000011,00010001,100000,1000101,0111,000111101,01000
00100111,00111100,00010101,100011,1000000,0111,001000001,01000
00011001,01001100,00010001,100000,1000101,0111,000111110,01000
00010101,01001110,00010011,011011,1000011,0111,001000110,01000
00111001,00111100,00010001,011010,1000100,1000,001001010,01000
00111000,01001011,00001111,011110,0111100,0111,001000010,01000
00110001,01001000,00001111,100000,1000100,0111,001001011,01000
00011000,01010000,00010011,011110,1000101,0111,001000010,01000
00110001,01001100,00010010,011011,1000100,0111,000111100,01000
00011100,01000100,00010011,100011,0111101,1000,001001000,01000
00110111,01001110,00010101,100001,0111111,0111,001000000,01000
00110010,01000000,00011001,011101,0111111,0111,001000110,01000
00100010,01010000,00010011,011111,0111111,0111,001000111,01000
00010100,01000100,00010111,011010,1000000,1000,000111111,01000
00110111,01000011,00010000,100010,1000110,0111,001000110,01000
00010111,01000110,00001111,100011,0111111,0111,000111100,01000
00110101,01001010,00001111,011101,1000001,1000,001001000,01000
00011010,01000011,00010000,011101,1000100,0111,001000100,01000
00100001,01010000,00010110,011101,1000010,0111,001000110,01000
00100101,01001111,00010011,011100,1000101,0111,001000101,01000
00100001,01001011,00010101,100001,1000101,0111,000111110,01000
00010110,00110111,00010100,100010,1000110,0111,000111101,01000
00010100,01000100,00010001,011110,0111100,0111,001001000,01000
00101011,01000100,00010100,011110,1000010,0111,001000101,01000
00101100,01001100,00010110,011011,1000100,1000,001000101,01000
00100010,00111100,00010000,011111,1000000,0111,001000000,01000
00010101,01001000,00010001,100000,1000011,1000,000111110,01000
00011001,01000100,00010011,011101,1000000,0111,001000011,01000
00101001,00111110,00001111,011101,1000000,0111,001000001,01000
00011100,01000001,00010111,011100,0111110,0111,001001010,01000
00100011,01000000,00001111,011100,1000000,0111,001000110,01000
00110100,00111010,00010000,011111,0111101,0111,001000111,01000
00111010,01001011,00011001,011001,0111101,0111,001000101,01000
00100010,01000010,00010011,100001,0111100,1000,001001001,01000
00110100,01000110,00010000,100010,1000011,1000,001000011,01000
00010111,00111001,00010011,100001,1000100,0111,001001001,01000
00101010,00111010,00011001,011011,0111111,0111,001000101,01000
00100101,00111110,00010001,011010,1000110,0111,001001011,01000
00101100,01001011,00010110,011110,1000000,1000,001000111,01000
00010101,01010000,00010100,011100,1000100,0111,001000000,01000
00111000,01001100,00010000,011100,0111101,1000,000111111,01000
00011101,01001100,00001111,011101,1000000,0111,001000110,01000
00101011,00111101,00010100,011011,0111110,0111,001000000,01000
00110111,00111100,00001111,100001,1000101,0111,001000000,01000
00101100,00111111,00001111,011010,1000001,0111,000111111,01000
00011101,01000011,00010101,011110,0111111,0111,000111111,01000
00101111,00111111,00010000,011011,1000011,0111,001001001,01000
00101000,01000100,00010001,100010,1000001,1000,001000110,01000
00111010,00111101,00001111,011111,1000000,0111,000111111,01000
00101001,01001010,00010010,011101,0111101,0111,001001001,01000
00111010,01001111,00010001,011011,1000010,0111,000111110,01000
00011011,00111110,00011000,011101,1000011,0111,000111110,01000
00011011,00111100,00010001,011010,1000000,0111,001000000,01000
00110100,01000001,00010100,100001,1000010,0111,001000101,01000
00101100,00110111,00011001,011110,1000010,0111,001000111,01000
00010101,00111110,00011000,100001,0111111,0111,001000001,01000
00111100,00111011,00010110,100000,1000011,0111,001001010,01000
00100001,01001101,00010101,011110,1000010,0111,001001000,01000
00111011,00111010,00010001,011101,1000010,0111,000111111,01000
00011101,00111111,00010001,011110,1000100,0111,001000010,01000
00111011,00111111,00010010,100000,0111100,0111,001000011,01000
00011101,01000110,00001111,011110,1000000,0111,001001010,01000
00111010,01001001,00010000,100001,1000010,0111,001000001,01000
00110111,01001101,00010110,011111,0111111,1000,001000001,01000
00101010,01001111,00010111,011100,0111111,0111,001000101,01000
00101100,01001101,00010101,100001,0111101,0111,000111110,01000
00100110,00111110,00011001,100001,1000100,0111,000111111,01000
00100000,01001100,00001111,011100,0111111,1000,000101011,01001
00001101,00111101,00010110,010011,0111111,1000,000101111,01001
00100110,00111100,00010100,011110,0111101,0111,000101111,01001
00001011,01001010,00010001,010101,1000110,0111,000101111,01001
00100101,01000111,00010000,011010,1000101,0111,000101110,01001
00011101,01000111,00010010,010110,0111110,0110,000110101,01001
00000010,01001000,00010010,011011,0111101,1000,000110011,01001
00000110,00111011,00010101,011011,1000010,0110,000110011,01001
00001101,01000000,00010100,010011,0111111,0111,000100100,01001
00001000,00111010,00010001,011101,1000101,0111,000100011,01001
00000110,01001101,00010100,011010,0111100,0110,000110001,01001
00000010,01001011,00010110,011000,0111110,0111,000110101,01001
00000011,01000101,00010111,011101,0111111,0111,000101011,01001
00011011,01010000,00011000,011100,0111110,1000,000110001,01001
00100111,01001110,00001111,010101,0111111,0110,000101010,01001
00101000,01001111,00010001,010101,0111111,0110,000100111,01001
00100101,00111110,00010110,011000,0111110,0111,000110010,01001
00011111,00111100,00011000,011001,1000010,1000,000110100,01001
00010110,01000011,00010110,011101,1000000,0111,000110111,01001
00000011,01001110,00010010,010100,1000101,0111,000110011,01001
00000100,01010000,00010000,011101,1000100,0111,000101101,01001
00001101,00111101,00011000,010010,1000110,1000,000110001,01001
00001100,01000010,00010100,011011,0111111,0111,000101100,01001
00000100,00111101,00010101,011001,0111100,0111,000110001,01001
00001001,00111100,00010101,011110,1000011,1000,000101000,01001
00010010,01000010,00010110,011010,1000100,0110,000110000,01001
00100000,00111000,00010010,010100,1000010,0111,000101110,01001
00000110,01001000,00001111,010111,1000011,1000,000110110,01001
00001111,01001101,00010100,011001,1000011,0111,000110001,01001
00000000,01000001,00011000,011100,0111110,1000,000110101,01001
00011110,01001111,00010110,010010,1000101,0110,000110001,01001
00000011,00111111,00010000,011000,0111101,0111,000110101,01001
00000010,01001110,00010111,010101,1000010,0111,000101101,01001
00001010,01001110,00010010,010011,0111111,0110,000101100,01001
00001110,01000011,00011001,011001,0111101,0111,000110001,01001
00100111,01000001,00010111,011001,1000101,1000,000101001,01001
00010011,01001000,00001111,011101,1000110,0111,000101100,01001
00010010,00111001,00010101,011011,1000000,0110,000110001,01001
00011111,00111010,00001111,011100,0111100,0110,000101101,01001
00011100,00111010,00011001,011011,0111110,0111,000100110,01001
00000101,01000001,00010011,010010,1000100,0111,000110001,01001
00010000,01000001,00010011,011100,1000101,0111,000101011,01001
00100010,01000001,00010011,010111,0111111,0110,000101101,01001
00001110,01000101,00010011,010101,1000000,0111,000110100,01001
00010110,00110111,00010000,011000,1000100,0111,000110010,01001
00011000,00111101,00010001,010111,1000001,0110,000100110,01001
00000010,01001111,00001111,010110,1000001,1000,000100100,01001
00011010,00111111,00010001,011110,1000010,0111,000101101,01001
00011011,00111101,00001111,011001,1000011,0111,000110000,01001
00011000,01000110,00010000,011001,1000101,0111,000100011,01001
00001101,01001010,00011001,011000,0111101,0110,000101100,01001
00000110,01000000,00010111,010111,1000011,0111,000100100,01001
00001100,00111010,00010111,010110,0111111,0111,000110010,01001
00100000,01001111,00010110,011100,0111111,0110,000110110,01001
00000110,01000100,00010010,011000,0111111,0111,000101111,01001
00001010,01001111,00010100,011001,1000011,0110,000100110,01001
00100110,01001101,00010110,011100,1000101,0110,000100011,01001
00010001,01001010,00010001,011010,1000110,0111,000100101,01001
00011010,01000100,00011000,011100,1000000,1000,000100101,01001
00010111,01001011,00010001,011001,1000000,0111,000110000,01001
00100000,01001110,00010110,011000,0111110,0111,000110101,01001
00010011,01001111,00010011,010100,1000100,0111,000101011,01001
00010110,00111100,00010010,010100,0111101,0111,000101010,01001
00011100,01000101,00010000,011110,1000010,0111,000100100,01001
00000001,01000011,00010101,011100,0111101,0111,000110000,01001
00001100,01000011,00010111,011010,0111111,0111,000101101,01001
00100100,01000011,00010100,010100,0111100,0111,000110101,01001
00011100,01000110,00010101,011001,0111100,0111,000100111,01001
00001100,01000111,00010011,011001,0111101,0111,000101010,01001
00010110,01000100,00010000,011100,0111111,1000,000100101,01001
00011010,01000010,00010110,010010,1000001,0110,000110100,01001
00010000,01000001,00010000,010010,0111110,0110,000110011,01001
00001110,00111011,00010110,011000,1000100,0111,000101111,01001
00100001,00111011,00010011,010111,0111111,1000,000110010,01001
00010101,00111111,00010001,011001,1000100,0111,000101001,01001
00000000,01000101,00010101,011010,0111110,0111,000100101,01001
00001010,01001011,00010001,010010,1000100,1000,000100111,01001
00011110,00111101,00010010,011011,1000011,0110,000110101,01001
00000000,01001010,00010001,010111,1000001,0111,000101111,01001
00100011,01001010,00010110,011011,0111111,0111,000101011,01001
00000111,00111111,00011000,010100,1000000,0111,000110101,01001
00001001,00111000,00010001,011010,1000011,0110,000101110,01001
00001110,01001010,00001111,011100,1000010,0110,000110010,01001
00001110,01001100,00010100,011101,0111110,0111,000100101,01001
00100100,01000001,00010000,011010,1000000,1000,000110010,01001
00011100,01000011,00010101,010110,1000000,0110,000101111,01001
00011100,01001111,00010000,011001,0111100,0110,000110101,01001
00101000,00111101,00010110,010101,1000010,0111,000101100,01001
00001010,01000110,00010011,011001,1000101,0111,000101010,01001
00001100,01010000,00010011,010110,1000001,0110,000100100,01001
00100101,01001101,00010100,011010,1000101,0111,000110011,01001
00000000,01000011,00010110,011110,1000101,0111,000110100,01001
00000111,01001001,00011001,011100,0111111,0111,000101101,01001
00001010,00111000,00010010,011100,1000101,0111,000101110,01001
00100111,01000110,00001111,010101,1000000,0110,000110000,01001
00011010,00111000,00010110,010111,0111100,0111,000110101,01001
00001001,01001101,00010001,010110,1000000,0110,000100110,01001
00000100,00111011,00010011,011010,1000100,1000,000101001,01001
00100010,01001001,00001111,010101,1000000,1000,000110101,01001
00100001,01001101,00001111,011000,1000010,1000,000101001,01001
00000010,00011000,00100110,011001,1011100,0110,001110000,01010
00000110,00010010,00100101,010100,1011010,0110,001101100,01010
00001000,00011010,00100100,010011,1010111,0111,001100111,01010
00100101,00010010,00100111,011000,1011111,0110,001101110,01010
00000000,00011011,00100110,010110,1011010,0111,001101101,01010
00011111,00011001,00100110,011001,1011100,0110,001101101,01010
00010101,00010101,00100110,010111,1011001,0110,001101001,01010
00000110,00011110,00101000,010111,1011011,0110,001101011,01010
00011001,00011011,00101001,010011,1011110,0111,001101100,01010
00001111,00001011,00100110,010111,1011101,0111,001101101,01010
00001110,00000101,00100100,011001,1010101,0110,001101001,01010
00010000,00001010,00101001,011001,1010110,0111,001101010,01010
00100100,00000111,00100101,010100,1010110,0110,001101100,01010
00000100,00010100,00101001,011000,1011110,0111,001101001,01010
00011101,00010110,00101000,011000,1011010,0110,001101100,01010
00010000,00001111,00101010,010100,1011001,0111,001101101,01010
00010010,00011011,00101001,010110,1011100,0111,001101001,01010
00001011,00010010,00101010,010110,1011111,0110,001100111,01010
00000101,00001111,00100110,010010,1011000,0110,001101100,01010
00010010,00010111,00101100,011000,1011010,0110,001101010,01010
00001001,00001000,00101000,010110,1011010,0111,001110000,01010
00101000,00011011,00101101,010110,1011111,0110,001110000,01010
00010110,00010111,00101100,010100,1011001,0110,001101011,01010
00001001,00010000,00100111,010010,1011011,0110,001101001,01010
00001100,00011101,00101000,010100,1011010,0111,001101111,01010
00000000,00010001,00101010,010111,1011011,0111,001101101,01010
00000010,00010101,00101100,010011,1010111,0111,001100111,01010
00011100,00000110,00101000,010110,1011011,0111,001101011,01010
00001000,00010111,00101100,010010,1011010,0111,001101100,01010
00011101,00010000,00100100,010100,1011001,0110,001100111,01010
00010001,00010010,00101011,011000,1011011,0110,001100111,01010
00100010,00010101,00101010,010011,1011010,0111,001101111,01010
00010101,00010111,00101010,010100,1011010,0111,001101000,01010
00011001,00010001,00101000,010011,1011000,0111,001101111,01010
00001000,00011001,00100100,010100,1011111,0111,001101000,01010
00011010,00010010,00101010,010100,1011010,0111,001101100,01010
00000100,00010011,00101010,011000,1011000,0110,001101111,01010
00100100,00011000,00101001,011001,1011110,0111,001101000,01010
00000101,00011000,00101000,011001,1011110,0110,001101001,01010
00010011,00010001,00100111,011001,1010110,0111,001101111,01010
00100111,00011110,00100110,010100,1011000,0111,001101100,01010
00000101,00011101,00101100,010101,1011101,0110,001101001,01010
00000100,00011000,00101011,010110,1011000,0111,001101110,01010
00100110,00010101,00100011,010100,1011001,0110,001101111,01010
00100101,00001011,00100100,011000,1010110,0111,001101011,01010
00001001,00011001,00101001,011001,1011100,0110,001101101,01010
00011101,00010110,00101011,010100,1011000,0110,001101010,01010
00000101,00010101,00100110,010110,1011010,0110,001110000,01010
00010110,00011010,00100110,010111,1010101,0111,001101110,01010
00000100,00010010,00100101,010111,1010101,0111,001101010,01010
00010101,00000110,00101001,011001,1011001,0111,001101011,01010
00011101,00010101,00101101,010111,1011101,0111,001101001,01010
00010111,00000101,00101100,010101,1011110,0111,001101100,01010
00001101,00000111,00101011,010010,1011011,0111,001101110,01010
00000101,00001101,00100101,010110,1011010,0110,001100111,01010
00011011,00011000,00101001,011000,1011011,0111,001101110,01010
00000111,00010111,00100011,010100,1011001,0111,001100111,01010
00001100,00010100,00100111,010100,1010110,0110,001101111,01010
00000100,00010011,00101011,010010,1011101,0110,001101010,01010
00000011,00001001,00101101,011000,1011010,0111,001101001,01010
